FECHA CORTE,DEPTORESIDENCIA,CANTIDAD CREDITOS AL DIA,CANTIDAD CREDITOS CON MORA MENOR A 90 DIAS,CANTIDAD CREDITOS MORA MAYOR A 90 DIAS,TOTAL CREDITOS,SALDO CAPITAL,SALDO TOTAL,SALDO MORA,INDICADOR CARTERA VENCIDA,EPOCA CARTERA
03/31/2022 12:00:00 AM,VAUPES,0,1,2,3,"$ 14,629,091","$ 16,111,879","$ 3,268,641",1,AMORTIZACION
03/31/2022 12:00:00 AM,VICHADA,19,12,15,46,"$ 554,822,061","$ 578,488,133","$ 61,244,171",0.3421,AMORTIZACION
03/31/2022 12:00:00 AM,SUCRE,3355,1954,1951,7260,"$ 75,700,773,505","$ 78,230,689,291","$ 5,505,018,539",0.3156,AMORTIZACION
03/31/2022 12:00:00 AM,GUAINIA,46,24,14,84,"$ 1,013,145,826","$ 1,058,404,047","$ 62,513,259",0.274,AMORTIZACION
03/31/2022 12:00:00 AM,AMAZONAS,106,54,40,200,"$ 3,246,272,835","$ 3,367,910,123","$ 164,058,506",0.2485,AMORTIZACION
03/31/2022 12:00:00 AM,CORDOBA,4320,2168,1512,8000,"$ 108,711,818,623","$ 112,164,188,852","$ 4,685,756,020",0.2274,AMORTIZACION
03/31/2022 12:00:00 AM,LA GUAJIRA,800,405,249,1454,"$ 26,686,416,029","$ 27,805,394,541","$ 1,321,529,779",0.2272,AMORTIZACION
03/31/2022 12:00:00 AM,ARAUCA,895,420,213,1528,"$ 16,397,360,237","$ 16,946,231,771","$ 675,411,018",0.2168,AMORTIZACION
03/31/2022 12:00:00 AM,MAGDALENA,1545,804,448,2797,"$ 42,405,327,719","$ 44,246,506,655","$ 1,599,720,162",0.2041,AMORTIZACION
03/31/2022 12:00:00 AM,BOLIVAR,5011,2403,1662,9076,"$ 108,151,820,769","$ 113,827,997,229","$ 5,095,279,489",0.2024,AMORTIZACION
03/31/2022 12:00:00 AM,PUTUMAYO,1186,534,336,2056,"$ 21,315,214,407","$ 22,200,287,252","$ 1,133,437,218",0.1958,AMORTIZACION
03/31/2022 12:00:00 AM,CHOCO,101,47,30,178,"$ 2,101,925,826","$ 2,173,133,866","$ 98,067,038",0.1935,AMORTIZACION
03/31/2022 12:00:00 AM,META,2224,941,612,3777,"$ 48,917,494,026","$ 50,664,928,556","$ 2,673,038,383",0.1869,AMORTIZACION
03/31/2022 12:00:00 AM,CASANARE,1297,645,278,2220,"$ 24,801,775,412","$ 25,663,207,077","$ 945,445,712",0.177,AMORTIZACION
03/31/2022 12:00:00 AM,ATLANTICO,10329,4381,2495,17205,"$ 319,961,832,111","$ 330,427,845,247","$ 10,886,808,427",0.1763,AMORTIZACION
03/31/2022 12:00:00 AM,CESAR,1216,562,344,2122,"$ 32,469,032,127","$ 34,807,621,844","$ 1,243,844,116",0.1749,AMORTIZACION
03/31/2022 12:00:00 AM,SIN INFORMACION,41,10,19,70,"$ 909,586,173","$ 971,964,501","$ 63,421,466",0.1678,AMORTIZACION
03/31/2022 12:00:00 AM,CAQUETA,815,359,156,1330,"$ 11,265,300,785","$ 11,515,749,194","$ 347,277,268",0.1646,AMORTIZACION
03/31/2022 12:00:00 AM,NORTE DE SANTANDER,3173,1161,550,4884,"$ 59,204,894,803","$ 61,206,492,052","$ 1,937,770,276",0.1628,AMORTIZACION
03/31/2022 12:00:00 AM,CAUCA,3050,1175,516,4741,"$ 51,734,339,056","$ 53,531,553,425","$ 1,458,684,472",0.1452,AMORTIZACION
03/31/2022 12:00:00 AM,GUAVIARE,205,93,49,347,"$ 2,988,302,531","$ 3,053,655,685","$ 124,947,500",0.1395,AMORTIZACION
03/31/2022 12:00:00 AM,RISARALDA,3241,968,378,4587,"$ 54,663,786,487","$ 56,216,433,678","$ 1,427,417,116",0.1304,AMORTIZACION
03/31/2022 12:00:00 AM,HUILA,2359,826,336,3521,"$ 40,471,848,171","$ 43,231,634,740","$ 1,132,111,342",0.1189,AMORTIZACION
03/31/2022 12:00:00 AM,SANTANDER,7612,2723,974,11309,"$ 158,077,560,988","$ 163,126,022,908","$ 4,123,300,953",0.1188,AMORTIZACION
03/31/2022 12:00:00 AM,QUINDIO,1938,638,212,2788,"$ 33,109,483,733","$ 34,020,714,812","$ 755,559,247",0.1117,AMORTIZACION
03/31/2022 12:00:00 AM,BOYACA,3485,1325,407,5217,"$ 78,716,590,936","$ 81,168,798,918","$ 1,758,194,614",0.1094,AMORTIZACION
03/31/2022 12:00:00 AM,TOLIMA,3518,1250,439,5207,"$ 60,940,107,349","$ 62,598,393,786","$ 1,425,534,645",0.108,AMORTIZACION
03/31/2022 12:00:00 AM,NARINO,4188,1344,500,6032,"$ 68,920,106,272","$ 70,444,425,014","$ 1,504,464,049",0.106,AMORTIZACION
03/31/2022 12:00:00 AM,ANTIOQUIA,10453,3321,1137,14911,"$ 233,114,171,277","$ 239,124,468,040","$ 4,760,281,098",0.1039,AMORTIZACION
03/31/2022 12:00:00 AM,VALLE DEL CAUCA,12526,3763,1377,17666,"$ 332,115,219,239","$ 340,139,734,409","$ 6,805,675,594",0.0998,AMORTIZACION
03/31/2022 12:00:00 AM,CALDAS,3019,840,304,4163,"$ 59,126,112,076","$ 60,722,456,274","$ 1,095,591,848",0.0981,AMORTIZACION
03/31/2022 12:00:00 AM,CUNDINAMARCA,7795,2165,679,10639,"$ 188,002,125,544","$ 196,528,983,530","$ 3,402,575,281",0.0843,AMORTIZACION
03/31/2022 12:00:00 AM,DISTRITO CAPITAL,36936,9457,2898,49291,"$ 986,392,120,932","$ 1,014,715,947,836","$ 17,034,319,155",0.0757,AMORTIZACION
03/31/2022 12:00:00 AM,EXTRANJERO,12,1,1,14,"$ 527,701,457","$ 534,541,038","$ 1,350,832",0.0274,AMORTIZACION
03/31/2022 12:00:00 AM,SAN ANDRES,130,1,0,131,"$ 2,177,061,279","$ 2,248,564,755","$ 103,824",0,AMORTIZACION
03/31/2022 12:00:00 AM,GUAINIA,10,1,1,12,"$ 273,070,949","$ 303,795,940","$ 410,772",0.2229,ESTUDIOS
03/31/2022 12:00:00 AM,AMAZONAS,79,15,2,96,"$ 2,470,239,879","$ 2,919,310,748","$ 19,093,857",0.0988,ESTUDIOS
03/31/2022 12:00:00 AM,VICHADA,35,8,1,44,"$ 772,823,514","$ 842,204,573","$ 2,793,813",0.0826,ESTUDIOS
03/31/2022 12:00:00 AM,ATLANTICO,16730,3961,525,21216,"$ 535,167,839,304","$ 596,160,687,652","$ 2,206,465,994",0.0646,ESTUDIOS
03/31/2022 12:00:00 AM,CALDAS,1749,322,51,2122,"$ 45,486,263,970","$ 54,707,263,642","$ 183,740,773",0.0624,ESTUDIOS
03/31/2022 12:00:00 AM,MAGDALENA,3999,673,90,4762,"$ 96,305,433,658","$ 106,206,478,347","$ 308,817,457",0.057,ESTUDIOS
03/31/2022 12:00:00 AM,CASANARE,1752,412,49,2213,"$ 42,229,245,720","$ 50,030,306,317","$ 154,835,713",0.057,ESTUDIOS
03/31/2022 12:00:00 AM,CHOCO,303,34,5,342,"$ 5,942,167,628","$ 6,572,381,603","$ 31,828,511",0.0552,ESTUDIOS
